title,poster_url,trailer_url
Семь,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/5/9/3977952/15148c2c7a7f63d9aecc779aa3641aff.jpeg,https://www.kinoafisha.info/trailers/1e2f542256bc4e2ab173f72e6cadddeb/
Зеленая книга,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/3/1/8355131/1363158f1f506f8bbcc895a671798dea.jpg,https://www.kinoafisha.info/trailers/e6506e288b94565e54e9f0dd0e8172f6/
Джанго освобожденный,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/4/2/8121248/16cb45cb41aa5a2666fc5ffcf0957d19.jpg,https://www.kinoafisha.info/trailers/695a92261d8349c0e201bff2e6ee54fb/
Чужой,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/3/6/4722633/852eb66d0e73ba008e8e35a6531ddbca.jpeg,https://www.kinoafisha.info/trailers/53565f9bc8424f08c639192aca4518c6/
Иван Васильевич меняет профессию,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/8/1/1624187/4c984fe7338f87f45e74784f5314e9b2.jpeg,
Spy x Family: Код «Белый»,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/7/6/8370673/133586083646.jpg,https://www.kinoafisha.info/trailers/4edb9018f96baab8e0986f3355c4f496/
Индиана Джонс: В поисках утраченного ковчега,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/8/0/3488085/1c61ed17198266c19f89904c3ba50120.jpeg,https://www.kinoafisha.info/trailers/64bb71f5fcf772948d798b2300ca085c/
Аватар,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/7/5/8097574/0cb900f339c55068808d6dc9a95b7f85.jpg,https://www.kinoafisha.info/trailers/e489d3d7283e2d596380f45078218326/
Темный рыцарь: Возрождение легенды,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/0/8/8094803/773949ec04f382d911f59283056b8c66.jpg,https://www.kinoafisha.info/trailers/ca6a8792ac24fcc962d37aad380e4381/
Игры разума,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/5/1/4108153/4f1e5a2a098a7bdb655155d158665304.jpeg,https://www.kinoafisha.info/trailers/2a0cfd2f34d212c30197b7e39d10ab77/
Тейлор Свифт: The Eras Tour,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/1/4/8372416/852078263825.jpg,https://www.kinoafisha.info/trailers/309182a31fd9a05f8ab74ca693ce3abc/
